label,n_symbols,leverage,base_per_entry,final_on_100,cagr,mdd,n_days,n_trades,trades_per_active_day,win_rate,mean_per_entry,median_per_entry,p_ge_10,p_le_m10,best_entry,worst_entry,total_pnl,gross_profit,best_trade_share_of_profit,total_ex_top5,ruin_prob,n_unique_symbols,n_candidates,n_rejected_unfunded,tag,window
N1_L1,1,1.0,100.0,302.9157861775402,0.17561445840686507,0.33142328916233843,2502,52,0.020783373301358914,0.38461538461538464,3.90222665726039,-3.5269322249565236,0.21153846153846154,0.17307692307692307,56.50250612080869,-21.975397298165728,202.91578617754027,436.5347472491594,0.2784529837977814,-42.995109481704276,0.0489,1,103,0,N1_L1,FULL
N1_L1,1,1.0,100.0,310.6382904343824,0.2055134761084929,0.33142328916233843,2215,46,0.02076749435665914,0.3695652173913043,4.554424780276895,-4.062645233367327,0.2391304347826087,0.1956521739130435,56.50250612080869,-21.975397298165728,209.50353989273717,426.63873213110855,0.2696971428250671,-36.40735576650739,0.0388,1,103,0,N1_L1,IS
N3_L1,3,1.0,33.333333333333336,189.50856632237955,0.0978149762927989,0.5968505012106278,2502,145,0.05795363709032774,0.3724137931034483,0.617300457395721,-1.3034398152264615,0.06206896551724138,0.013793103448275862,122.81704626137069,-33.333333333333336,89.50856632237955,392.43766355478743,1.3721261696788358,-98.54995687993113,0.2025,11,281,0,N3_L1,FULL
N3_L1,3,1.0,33.333333333333336,194.24253123186196,0.11570023410204144,0.5968505012106278,2215,125,0.056433408577878104,0.36,0.7539402498548942,-1.3643622576460588,0.072,0.016,122.81704626137069,-33.333333333333336,94.24253123186178,370.84104395844713,1.3032019052969617,-93.81599197044892,0.1795,11,281,0,N3_L1,IS
N5_L1,5,1.0,20.0,73.22827817928555,-0.04446768343737373,0.500957033070059,2502,242,0.09672262190247802,0.359504132231405,-0.11062694967237367,-0.8614479230004031,0.01652892561983471,0.004132231404958678,20.74182610818836,-15.148734212313165,-26.77172182071443,284.22626098417373,,-94.54743879297783,0.3433,21,459,0,N5_L1,FULL
N5_L1,5,1.0,20.0,80.58960642204099,-0.03495945310918047,0.47594875229725486,2215,206,0.09300225733634311,0.34951456310679613,-0.10668131588968058,-0.9478236662362772,0.019417475728155338,0.0048543689320388345,20.74182610818836,-15.148734212313165,-21.9763510732742,248.35701771314197,,-89.75206804553767,0.3046,20,459,0,N5_L1,IS
N10_L1,10,1.0,10.0,147.19198624291926,0.05805506371058544,0.2869937603000916,2502,475,0.18984812150279776,0.40842105263157896,0.09935154998509282,-0.3715322160610136,0.00631578947368421,0.002105263157894737,20.475042470648322,-10.0,47.19198624291909,363.8574101344396,0.43386693590843495,-10.104510441695375,0.0198,53,895,0,N10_L1,FULL
N10_L1,10,1.0,10.0,145.43027475229786,0.06370579084861983,0.26264817679548735,2215,406,0.18329571106094808,0.4064039408866995,0.1073176184084972,-0.4049219126768069,0.007389162561576354,0.0024630541871921183,20.475042470648322,-10.0,43.570953073849864,322.100924138098,0.4699241358329823,-13.72554361076449,0.0209,50,895,0,N10_L1,IS
N17_L1,17,1.0,5.882352941176471,206.59595245592988,0.11173811225458019,0.2312125283657921,2502,792,0.31654676258992803,0.4015151515151515,0.13459084906051805,-0.213980037800864,0.0025252525252525255,0.0,21.673596399065417,-4.455510062445049,106.5959524559303,408.6722697858481,0.20332475952148257,50.25064113906331,0.0001,88,1482,0,N17_L1,FULL
N17_L1,17,1.0,5.882352941176471,213.1050977884733,0.13288181299485435,0.2312125283657921,2215,676,0.3051918735891648,0.4068047337278107,0.1635217968549071,-0.21185860450685307,0.0029585798816568047,0.0,21.673596399065417,-4.455510062445049,110.5407346739172,370.9333380900747,0.19606886513826874,54.19542335704995,0.0,80,1482,0,N17_L1,IS
