symbol,strategy,params,L,train_net_return,train_CAGR,train_MDD,train_Sharpe,train_trades,test_net_return,test_CAGR,test_MDD,test_Sharpe,test_win_rate,test_trades,fees_paid,funding_paid,funding_coverage,liquidated,turnover,train_gate,gate,train_all_pass,all_pass,selected_L,exploratory
CRCLUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",15,-1.0,-1.0,1.0,-1.202770129688697,4,-1.0,-1.0,1.0,-15.272436167999187,0.6666666666666666,3,20.96325466539122,0.0,0.08496525584333543,True,26204.068331739025,"{""all_pass"": false, ""bankruptcy_probability"": 0.186, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 96.04429705719326, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.03, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 170.46532878909665, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,False
AAOIUSDT,B3_session,"{""which"": ""hour_81_short"", ""window"": 3}",20,-1.0,-1.0,1.0,2.677520458515854,6,-1.0,-1.0,1.0,-7.799572637865059,0.0,0,5.353846153845924,0.0,0.125,True,6000.0,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 569.1381124587621, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,True
AAOIUSDT,B3_session,"{""which"": ""hour_81_short"", ""window"": 3}",15,-1.0,-1.0,1.0,2.1718078827470384,6,-1.0,-1.0,1.0,-7.799572637865059,0.0,0,4.015384615384443,0.0,0.125,True,4500.0,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 544.1718986661957, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,True
AAOIUSDT,B3_session,"{""which"": ""hour_33_short"", ""window"": 3}",15,-1.0,-1.0,1.0,-2.884925631669041,1,-1.0,-1.0,1.0,2.0027418955824356,1.0,4,95.10127428478899,2.460435078944065,0.125,True,106579.01428468189,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 419.2705353372956, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 1203.865274591141, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,True
AAOIUSDT,B1_tsmom_ma,"{""fast"": 20, ""slow"": 100}",15,-1.0,-1.0,1.0,-7.5740376706121895,0,-1.0,-1.0,1.0,-21.59896151526373,0.0,0,4.015384615384443,0.0,0.125,True,4500.0,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,True
CRCLUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",20,-1.0,-1.0,1.0,0.0,0,-1.0,-1.0,1.0,-18.18076061111728,0.6666666666666666,3,24.97510560965421,0.0,0.08496525584333543,True,31218.882012067763,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.25, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 121.40231629146315, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,False
CRCLUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",25,-1.0,-1.0,1.0,0.0,0,-1.0,-1.0,1.0,-21.97047508139412,0.5,2,19.98273436526824,0.0,0.08496525584333543,True,24978.4179565853,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.258, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 83.20015507327778, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,False
AAOIUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",20,-1.0,-1.0,1.0,0.0,0,-1.0,-1.0,1.0,-22.02227408931346,0.0,0,5.353846153845924,0.0,0.125,True,6000.0,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,True
AAOIUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",15,-1.0,-1.0,1.0,0.0,0,-1.0,-1.0,1.0,-18.956626549147444,0.0,0,4.015384615384443,0.0,0.125,True,4500.0,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,True
AAOIUSDT,B1_donchian,"{""lookback"": 20}",20,-1.0,-1.0,1.0,0.0,0,-1.0,-1.0,1.0,0.0,0.0,0,5.353846153845924,0.0,0.125,True,6000.0,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,True
