symbol,strategy,params,L,train_net_return,train_CAGR,train_MDD,train_Sharpe,train_trades,test_net_return,test_CAGR,test_MDD,test_Sharpe,test_win_rate,test_trades,fees_paid,funding_paid,funding_coverage,liquidated,turnover,train_gate,gate,train_all_pass,all_pass,selected_L,exploratory
RKLBUSDT,B1_donchian,"{""lookback"": 20}",5,-0.9825469083787449,-0.9999999999876151,0.991782906826925,-2.069852663382063,37,-0.712442492859252,-0.9999908158926539,0.9230206793786658,1.1149122443341848,0.22727272727272727,22,19.137240004063226,-0.8296407954084678,0.12566560170394037,False,21165.976130636875,"{""all_pass"": false, ""bankruptcy_probability"": 0.988, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 0.24269407303909887, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.837, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 6.816256151776021, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,True
LLYUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",5,-0.7542331742756463,-0.9685237211057403,0.8073085337400628,-2.2694622072790036,125,-0.7125480056597739,-0.9900408631709676,0.7453403740114324,-3.569459291744165,0.45977011494252873,87,250.90360253327293,-1.1601594652595077,0.11393477340110122,False,161429.94244892104,"{""all_pass"": false, ""bankruptcy_probability"": 0.884, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 18.455357613435286, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.851, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 23.24903235982622, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,False
AVGOUSDT,B0_buy_hold,"{""direction"": 1}",5,0.7815660080011313,8.680275517656776,0.6814507361160098,2.1737909778670064,1,-0.7132995778141078,-0.9993668731064573,0.8828045613075202,-0.7249134862286682,0.0,1,1.2,27.7423786581093,0.12491559756920999,False,1500.0,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": true, ""bootstrap_p05_equity"": 534.4698024003394, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 1.0, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 86.01012665576766, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,False
GOOGLUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",5,-0.3564564696649736,-0.5631061442538552,0.7947004764937166,-0.010071819782078774,131,-0.7154753290912419,-0.9710695357334354,0.808975186208569,-2.285676384879313,0.5619047619047619,105,104.40430867173451,-5.134586083589018,0.08688630490956073,False,130505.38583966819,"{""all_pass"": false, ""bankruptcy_probability"": 0.533, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 50.63707443536088, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.844, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 24.409237960245626, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,False
AMZNUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",5,-0.7917210532033819,-0.9475263667419423,0.8207414410132827,-1.186412180527447,143,-0.7155112019443146,-0.9710798157230877,0.7717301285715745,-2.3767212697767874,0.5652173913043478,115,133.94638786020514,-2.6575041791358056,0.08688630490956073,False,163870.99018418053,"{""all_pass"": false, ""bankruptcy_probability"": 0.835, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 7.782206045135678, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.852, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 23.276837818132666, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,False
LLYUSDT,B1_donchian,"{""lookback"": 20}",3,-0.7644283942922335,-0.9716445220155063,0.8257824092056485,-2.7255746419893634,83,-0.7155509073844233,-0.9904201275779834,0.7179126866974355,-3.9994600801340083,0.26666666666666666,60,90.59847127979259,1.4552718952760029,0.11393477340110122,False,58290.53810703116,"{""all_pass"": false, ""bankruptcy_probability"": 0.926, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 27.180459486496435, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.935, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 40.00461726043882, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,False
METAUSDT,B3_session,"{""which"": ""hour_57_short"", ""window"": 3}",7,0.04949788730333737,0.0950098080549826,0.22213168688181806,0.4376634752864005,28,-0.7162095906626064,-0.971279481794554,0.7533280268006077,-3.7044284359916198,0.3157894736842105,19,35.97972152776144,-1.106177127002489,0.08688630490956073,False,44974.6519097018,"{""all_pass"": false, ""bankruptcy_probability"": 0.003, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 208.01854951988528, ""mdd_le_25"": true, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.89, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 36.25727474535904, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,False
ASMLUSDT,B3_session,"{""which"": ""hour_81_short"", ""window"": 3}",10,0.3270574196198428,0.7396339133628225,0.39365312382039486,0.9641189990882599,27,-0.7168553370827436,-0.9754120627268893,0.8179639538139551,-2.205537213240987,0.23529411764705882,17,74.4454544337228,0.0,0.0905114401076716,False,59218.38017749217,"{""all_pass"": false, ""bankruptcy_probability"": 0.131, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 138.01038993176863, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.853, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 26.208410874751497, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,False
GMEUSDT,B0_buy_hold,"{""direction"": 1}",5,-1.0,-1.0,1.0,-3.5018644822297555,0,-0.7175811702501582,-0.9761702993518823,0.9078188752745143,0.06506012738111576,0.0,1,2.0623734533182536,39.64163570753691,0.09109380291229259,False,1500.0,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 300.0, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 1.0, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 84.72564892495254, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,False
COPUSDT,B1_donchian,"{""lookback"": 20}",5,-0.2512744763249105,-0.7524416232751018,0.6387721427058266,0.19310777088973852,46,-0.718642103191431,-0.999896086713704,0.795415719569392,-4.705969168500861,0.3157894736842105,19,45.78112971933983,1.8883217672544017,0.1251035625517813,False,27245.729530605822,"{""all_pass"": false, ""bankruptcy_probability"": 0.473, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 71.41192320902832, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.915, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 37.55042724564039, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,False
AVGOUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",5,-0.8059707906110026,-0.9984127434063841,0.8607863817970649,-3.2499670957452245,72,-0.7190769037509956,-0.9994384700360395,0.827954358647076,-2.5718979311056476,0.574468085106383,47,71.33737467722567,-12.79747880090588,0.12491559756920999,False,89171.71834653208,"{""all_pass"": false, ""bankruptcy_probability"": 0.916, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 14.522763807114819, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.799, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 15.096522724190349, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,False
EWJUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",10,-0.4821012403065771,-0.9633131573258851,0.6806409447517037,-0.5018677822177006,62,-0.7193072245992335,-0.9999306420408434,0.7847981345990345,-4.3522936327118735,0.5641025641025641,39,145.99281018433268,-7.74601228637989,0.12424503882657463,False,159077.52079518916,"{""all_pass"": false, ""bankruptcy_probability"": 0.601, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 34.399376472274696, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.83, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 26.219586724827604, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,False
NATGASUSDT,B1_donchian,"{""lookback"": 20}",5,-0.441207121668752,-0.9645960987821922,0.5086227479016497,-0.8247831429395169,29,-0.7194258374485973,-0.9999823340316581,0.8115228093642755,-4.838709528762076,0.23076923076923078,26,38.15292022140152,11.828456485402095,0.2495069033530572,False,43781.54741229562,"{""all_pass"": false, ""bankruptcy_probability"": 0.555, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 55.28236471978374, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.893, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 35.19599909938322, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,True
CBRSUSDT,B2_mean_reversion,"{""lookback"": 24, ""max_hold"": 48, ""z_entry"": 2}",3,0.2580099158438329,7.523086965507588,0.8039667888690621,2.106782811489817,32,-0.7194884868303724,-0.9999999813985869,0.8055314047551478,-4.96231820260389,0.47619047619047616,21,19.578698612025814,-0.016236343086561855,0.125,False,24473.37326503226,"{""all_pass"": false, ""bankruptcy_probability"": 0.271, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 91.8095986093, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.816, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 17.860707355340438, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,True
AMDUSDT,B1_donchian,"{""lookback"": 20}",3,0.9797394950248277,90.066060554256,0.7443975965092571,2.9051312476731312,29,-0.7198614662930598,-0.9999966412223255,0.8078316435258047,-3.636895975959643,0.30434782608695654,23,21.932285510130704,0.1383982950789333,0.12585034013605442,False,24753.58381040717,"{""all_pass"": false, ""bankruptcy_probability"": 0.196, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 121.87647596591904, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.9, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 32.65367990236122, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,True
INFQUSDT,B3_session,"{""which"": ""hour_78_long"", ""window"": 3}",7,-0.5217093145312742,-0.9990853959590681,0.6494259109448652,-0.9291743358593623,6,-0.7216545582394231,-0.9999999875220452,0.7671684391678962,-2.182019308852394,0.5,4,25.510222976648265,0.0,0.1254071661237785,False,5918.696511040831,"{""all_pass"": false, ""bankruptcy_probability"": 0.639, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 31.177900760874067, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.667, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 11.295819729516946, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,True
ARMUSDT,B3_session,"{""which"": ""hour_81_short"", ""window"": 3}",7,0.6036296366426006,1.5195698846217383,0.4370535384731311,1.3780689530512242,27,-0.7216690058010518,-0.9766195332917356,0.9006046342556653,-0.5918234348523586,0.4117647058823529,17,36.15156820115235,0.0,0.0905114401076716,False,45189.46025144042,"{""all_pass"": false, ""bankruptcy_probability"": 0.111, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 153.78438442690776, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": true}","{""all_pass"": false, ""bankruptcy_probability"": 0.832, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 10.199858574749536, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": false, ""trades_ge_15"": true}",False,False,,False
MSFTUSDT,B1_tsmom_ma,"{""fast"": 10, ""slow"": 50}",5,0.6921999289290988,1.939186286613142,0.45977873755524845,1.4601064196492932,3,-0.7217498068321456,-0.9804205788087115,0.8142409749581057,-1.6754573076666308,0.0,3,3.428043117369416,23.010481071946494,0.09478505990133897,False,4285.05389671177,"{""all_pass"": false, ""bankruptcy_probability"": 0.0, ""bankruptcy_probability_lt_5"": true, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 221.01394886956388, ""mdd_le_25"": false, ""sign_preserved"": true, ""test_net_positive"": true, ""trades_ge_15"": false}","{""all_pass"": false, ""bankruptcy_probability"": 0.974, ""bankruptcy_probability_lt_5"": false, ""bootstrap_floor_gt_300"": false, ""bootstrap_p05_equity"": 55.15699734970707, ""mdd_le_25"": false, ""sign_preserved"": false, ""test_net_positive"": false, ""trades_ge_15"": false}",False,False,,False
